"question","actual_answer","category","table_id","predicted_answer"
"How many months ago was Aruna Quadri's highest ranking?","one","tabletennis","710","The highest ranking of Aruna Quadri was 10 in May 2022, and the current ranking is 11 in June 2022. Therefore, the difference between the highest ranking and the current ranking is 1 month.So, the answer is 1 month ago."
"How old was Aruna Quadri when he won the silver in the 2018 Gold Coast Commonwealth Games?","30 years old","tabletennis","710","33 years old"
"How old was Quadri when he won the sliver at the Commonwealth Games?","30","tabletennis","710","33 years old"
"How many months are between Quadri's current rank and his highest rank?","1","tabletennis","710","The answer is 1 month. Quadri's highest ranking was 10 in May 2022, and his current ranking is 11 in June 2022."
"What year did Aruna Quadri win a silver medal in the Commonwealth Games?","2018","tabletennis","710","Sure! Here's the answer:2018"
"How many gold medals did Aruna Quadri win?","zero","tabletennis","710","Zero"
"Who was the architect of Valderøy Church in 1961?","Øyvind Grimnes","church","714","Øyvind Grimnes"
"Which country located in Valderøy Church?","Norway","church","714","Norway"
"Which year founded in Valderøy Church?","1961","church","714","Sure! Here's the answer to the question:1961"
"Which materials used build of church?","Stone/brick","church","714","Stone/brick"
"When was Valderoy Church was founded?","1961","church","714","Sure! Here's the answer to the question:1961"
"When was Valderoy Church was Consecrated?","29 July 1961","church","714","Sure! Here's the answer to the question:The Valderoy Church was consecrated on July 29, 1961."
"What is the capacity of  Valderoy Church?","530","church","714","The capacity of Valderoy Church is 530."
"How many years ago did Valderøy Church was consecrated?","61 years ago","church","714","61 years ago"
"What is the seating capacity of Valderøy Church in 2022?","530","church","714","The seating capacity of Valderøy Church in 2022 is 530."
"How long was the Valen Chapel open after completion?","166 years","church","715","The Valen Chapel was closed for 76 years, from 1873 to 1949."
"How many years was the Valen Chapel completed when it was consecrated?","242 years","church","715","The Valen Chapel was completed in 1707, which was 315 years ago."
"How long has the church been open in total?","239 years","church","715","The church has been open for a total of 315 years, from its completion in 1707 to the present day. It was closed for a period of 76 years, from 1873 to 1949."
"What was the age of the church when it was consecrated?","242 years old","church","715","The church was consecrated on July 31, 1949. Therefore, it was 315 years old when it was consecrated, as it was founded in the 13th century."
"What is the capacity of Valen kapell church?","50","church","715","The capacity of Valen kapell church is 50."
"When is Valen kapell church was found?","13th century","church","715","The Valen kapell church was founded in the 13th century."
"How old was the church when it intially closed?","166 years old","church","715","The church was initially closed in 1873, and it was 315 years old at that time."
"When Valen kapell  was closed?","1873-1949","church","715","The Valen Chapel was closed from 1873 to 1949."
"How long did it take for the consecration of the Valen Chapel take from the time it was closed?","76 years","church","715","The Valen Chapel was closed for 76 years, from 1873 to 1949, before it was consecrated."
"Which country is Denomination of church?","Church of England","church","719","United Kingdom"
"Which materials used built of church?","brick, stone","church","719","Brick and stone"
"Which country located of All Hallows Twickenham?","United Kingdom","church","719","United Kingdom"
"How many days did All Hallows Twickenham was construction completed after ground breaking in 11 July 1939?","487 days","church","719","The construction of All Hallows Twickenham was completed 1 year and 4 months after groundbreaking, in November 1940."
"what is the length of All Hallows Twickenham?","35 m","church","719","35 m (114 ft 10 in)"
"What is the name of Former?","St Martin's Mission Twickenham","church","719","The name of the former church is St Martin's Mission Twickenham."
"How many years ago did  All Hallows Twickenham was Designated as Grade I?","70 Years ago (1952)","church","719","The Church of All Hallows in Twickenham was designated as Grade I on September 2, 1952. Therefore, as of the current year (2022), it has been 69 years since the church was designated as Grade I."
"where is the location of All Hallows Twickenham?","United Kingdom","church","719","The location of All Hallows Twickenham is Twickenham, London, United Kingdom."
"Who was the Architect(s) constructed the  All Hallows Twickenham in 1940?","Robert Atkinson, Christopher Wren","church","719","Robert Atkinson and Christopher Wren"
"What year was the Palace of Westminster built?","1016","monument","726","1016"
"What year did the Palace of Westminster become a World Historical Site?","2008","monument","726","The Palace of Westminster became a UNESCO World Heritage Site in 1987."
"How many years did it take to rebuild the Palace of Westminster?","36 years","monument","726","The Palace of Westminster was rebuilt over a period of 36 years, from 1840 to 1876."
"How many years after its demolition did the rebuilding of the Palace of Westminster begin?","4","monument","726","The rebuilding of the Palace of Westminster began 1006 years after its demolition, in 1840."
"How many years did it take to rebuild the Palace of Westminster?","36","monument","726","The Palace of Westminster was rebuilt over a period of 36 years, from 1840 to 1876."
"How many years takes to rebuild Palace of Westminster?","36 years","monument","726","The Palace of Westminster was rebuilt between 1840 and 1876, a total of 36 years."
"How old was Palace of Westminster?","1006 years","monument","726","1006 years old"
"What is the offical name of Palace of Westminster when it was listed in UNESCO World Heritage Site 2008?","Palace of Westminster, Westminster Abbey, and St Margaret's Church","monument","726","The official name of Palace of Westminster when it was listed in UNESCO World Heritage Site 2008 was ""Palace of Westminster, Westminster Abbey, and St Margaret's Church""."
"How many years after it was built did the Palace of Westminister catch on fire?","822","monument","726","The Palace of Westminster caught on fire 834 years after it was built, in 1834."
"How old was Timoshenko when he began skating?","5","figure skating","735","Daria Timoshenko began skating in 1985, at the age of 5."
"How many years after Timoshenko began skating did he win his first gold medeal?","14","figure skating","735","The answer to the question is 11 years. Daria Timoshenko began skating in 1985, and she won her first gold medal at the World Junior Championships in 1999."
"How many personal best scores did Timoshenko achieve a year before he retired?","3","figure skating","735","Three.In 2005, Timoshenko achieved personal best scores in the combined total, short program, and free skate at the European Championships."
"What nationality was Daria Timoshenko in 1987?","Russian","figure skating","735","Russian"
"What country did Daria Timoshenko for the shortest period of time?","Azerbaijan","figure skating","735","Azerbaijan"
"How many years did Daria Timoshenko skate for Azerbaijan?","6 years","figure skating","735","6 years"
"How old was Daria Timoshenko when she began skating?","5","figure skating","735","Daria Timoshenko began skating in 1985, when she was 5 years old."
"How many years did Daria Timoshenko skate before retiring?","21 years","figure skating","735","Sure! Here's the answer to the question:21 years"
"What year did Daria Timoshenko win a gold medal in the World Junior Championships?","1999","figure skating","735","1999"
